ID,time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_mid (%),cloud_cover_low (%),visibility (m),evapotranspiration (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (m/s),wind_speed_80m (m/s),wind_speed_120m (m/s),wind_speed_180m (m/s),wind_direction_10m (°),wind_direction_80m (°),wind_direction_120m (°),wind_direction_180m (°),wind_gusts_10m (m/s),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),cloud_cover_high (%),uv_index (),uv_index_clear_sky (),sunshine_duration (s),wet_bulb_temperature_2m (°C),freezing_level_height (m),boundary_layer_height (m),region,weather_category,precipitation_probability (%)
region 5_2025-11-21_09,2025-11-21 09:00:00,27.4,83.0,24.2,32.6,0.0,0.0,0.0,0.0,0.0,3.0,1010.7,1005.3,92.0,62.0,56.0,23400.0,0.26,0.26,0.62,2.0,2.31,2.42,2.42,273.0,275.0,277.0,277.0,4.0,25.9,25.1,24.3,50.0,3.15,3.6,,25.0,5010.0,475.0,region 5,Thunderstorm no hail,25
region 6_2025-11-21_09,2025-11-21 09:00:00,26.9,86.0,24.3,31.7,1.2,0.0,1.2,0.0,0.0,95.0,1010.6,1008.2,,57.0,60.0,24140.0,0.12,0.18,0.5,2.76,2.97,3.05,3.26,314.0,312.0,311.0,310.0,4.2,25.7,25.0,24.1,100.0,3.05,3.6,1784.44,25.0,5030.0,380.0,region 6,Thunderstorm no hail,25
region 7_2025-11-21_09,2025-11-21 09:00:00,28.4,84.0,25.4,34.5,0.0,0.0,0.0,0.0,0.0,3.0,1010.6,1003.0,94.0,43.0,70.0,18380.0,0.14,0.19,0.62,,2.05,2.13,2.69,320.0,317.0,319.0,312.0,3.3,27.0,26.3,25.6,64.0,2.95,3.6,3514.78,26.2,5030.0,485.0,region 7,Rain shower slight,38
region 8_2025-11-21_09,2025-11-21 09:00:00,26.4,90.0,24.6,32.6,0.9,0.0,0.9,0.0,0.0,95.0,1011.0,999.8,100.0,57.0,55.0,24140.0,0.16,0.2,0.34,0.58,0.67,0.76,1.04,239.0,243.0,247.0,253.0,1.6,24.8,24.2,23.7,100.0,2.9,3.7,3019.48,25.1,5030.0,465.0,region 8,Thunderstorm no hail,18
region 1_2025-11-21_10,2025-11-21 10:00:00,25.1,81.0,21.6,28.9,0.0,0.0,0.0,0.0,0.0,3.0,1011.8,969.1,93.0,73.0,49.0,24140.0,0.33,0.3,0.6,1.61,1.97,1.97,2.02,240.0,246.0,246.0,250.0,4.1,23.6,23.0,22.2,47.0,0.9,6.0,3600.0,22.5,5040.0,140.0,region 1,Thunderstorm no hail,10
region 2_2025-11-21_10,2025-11-21 10:00:00,27.8,80.0,24.1,33.6,0.6,0.0,0.6,0.0,0.0,80.0,1011.0,1004.7,100.0,74.0,60.0,15000.0,0.28,0.32,0.75,0.81,0.98,0.98,1.08,300.0,294.0,294.0,292.0,3.9,25.9,25.2,24.4,100.0,4.7,5.75,3600.0,25.1,5040.0,720.0,region 2,Rain shower slight,65
region 3_2025-11-21_10,2025-11-21 10:00:00,28.5,79.0,24.5,33.8,0.0,0.0,0.0,0.0,0.0,3.0,1010.9,998.4,98.0,43.0,57.0,6860.0,0.4,0.39,0.82,2.06,2.35,2.33,2.43,256.0,258.0,260.0,261.0,4.2,26.8,26.1,25.3,90.0,4.25,5.9,3600.0,25.5,5060.0,705.0,region 3,Thunderstorm no hail,28
region 4_2025-11-21_10,2025-11-21 10:00:00,26.7,81.0,23.2,31.2,0.0,0.0,0.0,0.0,0.0,3.0,1011.2,993.0,100.0,66.0,51.0,24140.0,0.32,0.31,0.67,,2.42,2.48,2.48,214.0,218.0,220.0,223.0,4.4,25.1,24.5,23.6,100.0,3.4,5.95,3600.0,24.1,5050.0,460.0,region 4,Thunderstorm no hail,25
region 5_2025-11-21_10,2025-11-21 10:00:00,27.8,82.0,24.5,32.9,0.1,0.0,0.1,0.0,0.0,3.0,1010.6,1005.2,91.0,58.0,49.0,23420.0,0.41,0.37,0.67,2.43,2.82,2.82,2.82,261.0,264.0,264.0,264.0,4.8,26.1,25.4,24.5,57.0,5.5,5.85,3600.0,25.3,5050.0,805.0,region 5,Thunderstorm no hail,28
region 6_2025-11-21_10,2025-11-21 10:00:00,27.5,82.0,24.1,32.4,0.5,0.0,0.5,0.0,0.0,80.0,1010.4,1008.0,,54.0,55.0,6860.0,0.15,0.32,0.66,2.33,2.55,2.55,2.62,317.0,318.0,318.0,317.0,4.1,26.2,25.5,24.6,100.0,5.15,5.85,3600.0,25.0,5070.0,520.0,region 6,Thunderstorm no hail,28
region 7_2025-11-21_10,2025-11-21 10:00:00,29.9,77.0,25.4,36.0,0.2,0.0,0.2,0.0,0.0,3.0,1010.4,1002.8,100.0,59.0,48.0,20660.0,0.31,0.38,0.97,,1.97,2.11,2.2,301.0,300.0,301.0,300.0,3.4,28.0,27.3,26.4,100.0,4.55,5.85,3600.0,26.6,5060.0,610.0,region 7,Rain shower slight,38
region 8_2025-11-21_10,2025-11-21 10:00:00,27.4,85.0,24.7,33.5,0.4,0.0,0.4,0.0,0.0,80.0,1010.9,999.7,100.0,57.0,45.0,24140.0,0.29,0.31,0.55,,1.2,1.27,1.27,217.0,222.0,225.0,225.0,2.3,25.8,25.1,24.2,100.0,5.25,5.95,3600.0,25.4,5050.0,690.0,region 8,Thunderstorm no hail,13
region 1_2025-11-21_11,2025-11-21 11:00:00,25.9,76.0,21.3,29.4,0.0,0.0,0.0,0.0,0.0,3.0,1011.7,969.1,91.0,50.0,74.0,22540.0,0.48,0.41,0.8,2.51,3.0,2.95,3.01,241.0,244.0,246.0,249.0,5.6,24.3,23.7,22.9,51.0,1.45,7.9,3600.0,22.6,5090.0,190.0,region 1,Thunderstorm no hail,13
region 2_2025-11-21_11,2025-11-21 11:00:00,28.5,75.0,23.7,33.2,0.2,0.0,0.2,0.0,0.0,3.0,1010.9,1004.6,90.0,44.0,64.0,18880.0,0.39,0.4,0.97,,2.96,3.16,3.26,261.0,258.0,259.0,259.0,5.9,26.4,25.7,24.9,44.0,6.75,7.7,,25.0,5090.0,885.0,region 2,Rain shower slight,68
region 3_2025-11-21_11,2025-11-21 11:00:00,29.4,74.0,24.3,35.0,0.0,0.0,0.0,0.0,0.0,3.0,1010.7,998.2,100.0,41.0,50.0,5820.0,0.47,0.48,1.06,2.34,2.62,2.69,2.77,250.0,252.0,255.0,257.0,4.8,27.5,26.8,25.9,100.0,6.3,7.8,3600.0,25.6,5080.0,900.0,region 3,Thunderstorm no hail,33
region 4_2025-11-21_11,2025-11-21 11:00:00,27.5,78.0,23.3,32.0,0.0,0.0,0.0,0.0,0.0,3.0,1011.0,992.8,,63.0,48.0,22900.0,0.45,0.41,0.81,2.64,3.02,3.02,3.08,209.0,214.0,214.0,216.0,5.5,25.8,25.1,24.3,100.0,5.3,7.85,3600.0,24.4,5050.0,640.0,region 4,Thunderstorm no hail,23
region 5_2025-11-21_11,2025-11-21 11:00:00,29.0,,24.7,35.0,0.1,0.0,0.1,0.0,0.0,3.0,1010.5,1005.1,98.0,60.0,50.0,21420.0,0.47,0.48,0.88,2.38,2.77,2.84,2.94,255.0,257.0,260.0,260.0,4.8,26.9,26.2,25.3,89.0,7.5,7.75,3600.0,25.8,5070.0,1015.0,region 5,Thunderstorm no hail,33
region 6_2025-11-21_11,2025-11-21 11:00:00,27.9,,24.0,32.7,0.4,0.0,0.4,0.0,0.0,80.0,1010.4,1008.0,99.0,46.0,59.0,5820.0,0.17,0.42,0.79,3.01,3.23,3.26,3.35,285.0,286.0,288.0,287.0,4.6,26.6,25.9,25.0,95.0,7.35,7.75,,25.0,5090.0,785.0,region 6,Thunderstorm no hail,33
region 7_2025-11-21_11,2025-11-21 11:00:00,30.8,71.0,24.9,36.2,0.1,0.0,0.1,0.0,0.0,3.0,1010.4,1002.8,94.0,51.0,52.0,6400.0,0.43,0.47,1.28,3.03,3.85,3.95,4.06,278.0,279.0,279.0,280.0,5.8,28.7,27.9,27.1,74.0,6.55,7.75,3600.0,26.5,5090.0,775.0,region 7,Rain shower slight,38
region 8_2025-11-21_11,2025-11-21 11:00:00,28.8,,24.6,35.0,0.0,0.0,0.0,0.0,0.0,2.0,1010.6,999.5,79.0,45.0,53.0,24140.0,0.44,0.46,0.87,1.75,1.94,1.94,2.0,211.0,215.0,215.0,217.0,3.4,27.0,26.3,25.4,16.0,5.5,7.85,3600.0,25.7,5060.0,890.0,region 8,Thunderstorm no hail,23
region 1_2025-11-21_12,2025-11-21 12:00:00,26.2,74.0,21.2,29.5,0.0,0.0,0.0,0.0,0.0,3.0,1011.2,968.7,,57.0,67.0,22320.0,0.5,0.44,0.88,3.11,3.89,3.94,3.94,237.0,241.0,243.0,243.0,7.1,24.5,23.8,23.0,52.0,2.75,9.15,3600.0,22.6,5100.0,275.0,region 1,Thunderstorm no hail,25
region 2_2025-11-21_12,2025-11-21 12:00:00,29.1,72.0,23.6,34.2,0.1,0.0,0.1,0.0,0.0,3.0,1010.4,1004.1,92.0,54.0,60.0,12540.0,0.45,0.51,1.13,3.2,4.14,4.33,4.43,250.0,250.0,251.0,252.0,7.7,26.8,26.1,25.2,54.0,8.2,8.95,3600.0,25.1,5130.0,1080.0,region 2,Rain shower slight,70
region 3_2025-11-21_12,2025-11-21 12:00:00,29.7,72.0,24.2,35.2,0.0,0.0,0.0,0.0,0.0,3.0,1010.2,997.8,100.0,52.0,56.0,5260.0,0.52,0.52,1.17,3.1,3.67,3.76,3.83,249.0,253.0,253.0,255.0,6.4,27.9,27.1,26.3,100.0,8.3,9.0,3600.0,25.7,5120.0,1110.0,region 3,Thunderstorm no hail,38
region 4_2025-11-21_12,2025-11-21 12:00:00,28.6,72.0,23.1,33.9,0.0,0.0,0.0,0.0,0.0,3.0,1010.4,992.3,95.0,59.0,59.0,12120.0,0.53,0.53,1.1,2.62,2.97,2.97,2.9,220.0,222.0,225.0,226.0,5.5,26.7,26.0,25.2,70.0,6.85,,3600.0,24.6,5070.0,820.0,region 4,Thunderstorm no hail,35
region 5_2025-11-21_12,2025-11-21 12:00:00,29.7,71.0,23.9,35.0,0.1,0.0,0.1,0.0,0.0,3.0,1009.9,1004.6,92.0,42.0,50.0,20380.0,0.56,0.54,1.21,3.59,4.37,4.47,4.55,257.0,259.0,260.0,261.0,7.0,27.8,27.0,26.2,68.0,8.2,9.0,3600.0,25.5,5110.0,1015.0,region 5,Thunderstorm no hail,38
region 6_2025-11-21_12,2025-11-21 12:00:00,28.0,79.0,24.0,33.0,0.2,0.0,0.2,0.0,0.0,80.0,1010.0,1007.6,96.0,57.0,56.0,5260.0,0.22,0.49,0.79,4.12,4.53,4.64,4.64,276.0,276.0,277.0,277.0,6.1,26.7,25.9,25.1,77.0,8.5,8.95,,25.1,5090.0,880.0,region 6,Thunderstorm no hail,38
region 7_2025-11-21_12,2025-11-21 12:00:00,31.4,70.0,25.2,37.2,0.0,0.0,0.0,0.0,0.0,3.0,1009.9,1002.3,94.0,50.0,66.0,5560.0,0.5,0.54,1.37,3.71,4.7,4.8,4.9,267.0,269.0,270.0,271.0,7.0,29.2,28.4,27.5,67.0,8.05,,3600.0,26.9,5070.0,1005.0,region 7,Rain shower slight,43
region 8_2025-11-21_12,2025-11-21 12:00:00,29.9,70.0,23.9,35.7,0.1,0.0,0.1,0.0,0.0,3.0,1009.9,998.8,93.0,74.0,68.0,24140.0,0.52,0.52,1.27,2.2,2.5,2.58,2.58,231.0,233.0,234.0,234.0,4.2,28.1,27.4,26.5,33.0,8.55,9.05,3600.0,25.5,5070.0,1095.0,region 8,Thunderstorm no hail,30
region 1_2025-11-21_13,2025-11-21 13:00:00,26.5,72.0,21.0,29.2,0.0,0.0,0.0,0.0,0.0,3.0,1010.5,968.0,100.0,59.0,65.0,20460.0,0.42,0.42,0.97,3.55,4.61,4.7,4.74,238.0,240.0,241.0,242.0,8.0,24.7,24.0,23.2,100.0,4.45,9.55,3600.0,22.6,5100.0,440.0,region 1,Thunderstorm no hail,45
region 2_2025-11-21_13,2025-11-21 13:00:00,29.9,70.0,23.9,34.6,0.1,0.0,0.1,0.0,0.0,3.0,1009.7,1003.5,96.0,54.0,66.0,7940.0,0.39,0.5,1.27,3.83,5.19,5.41,5.6,250.0,251.0,251.0,251.0,9.2,27.5,26.7,25.9,76.0,7.7,9.35,3600.0,25.5,5180.0,1185.0,region 2,Rain shower slight,70
region 3_2025-11-21_13,2025-11-21 13:00:00,30.3,67.0,23.5,34.5,0.0,0.0,0.0,0.0,0.0,3.0,1009.3,996.9,98.0,76.0,68.0,4500.0,0.45,0.49,1.42,,5.15,5.24,5.33,243.0,246.0,246.0,247.0,8.2,28.5,27.7,26.9,69.0,8.0,9.4,3600.0,25.4,5110.0,920.0,region 3,Thunderstorm no hail,55
region 4_2025-11-21_13,2025-11-21 13:00:00,29.5,67.0,22.7,34.4,0.0,0.0,0.0,0.0,0.0,3.0,1009.6,991.6,99.0,57.0,55.0,11500.0,0.53,0.56,1.36,3.28,3.69,3.69,3.66,211.0,213.0,213.0,215.0,6.6,27.5,26.8,25.9,93.0,7.45,9.45,3600.0,24.7,5100.0,920.0,region 4,Thunderstorm no hail,48
region 5_2025-11-21_13,2025-11-21 13:00:00,29.6,72.0,24.0,33.9,0.2,0.0,0.2,0.0,0.0,80.0,1009.2,1003.9,,38.0,54.0,23380.0,0.5,0.49,1.16,,5.72,5.82,5.91,249.0,251.0,251.0,251.0,8.8,27.6,26.8,25.9,40.0,9.0,9.35,3600.0,25.5,5110.0,1000.0,region 5,Thunderstorm no hail,55
region 6_2025-11-21_13,2025-11-21 13:00:00,28.0,80.0,24.2,32.6,0.2,0.0,0.2,0.0,0.0,80.0,1009.4,1007.0,87.0,50.0,54.0,4500.0,0.23,0.47,0.75,4.62,5.22,5.22,5.22,265.0,266.0,266.0,266.0,6.8,26.5,25.8,24.9,43.0,9.0,9.35,3600.0,25.2,5090.0,905.0,region 6,Thunderstorm no hail,55
region 7_2025-11-21_13,2025-11-21 13:00:00,31.5,,25.1,36.7,0.2,0.0,0.2,0.0,0.0,3.0,1009.3,1001.7,95.0,56.0,67.0,5440.0,0.46,0.52,1.43,4.24,5.43,5.61,5.69,255.0,257.0,259.0,260.0,8.0,29.2,28.4,27.5,66.0,5.15,9.35,3600.0,26.8,5100.0,640.0,region 7,Rain shower slight,53
region 8_2025-11-21_13,2025-11-21 13:00:00,30.8,67.0,24.0,36.7,0.1,0.0,0.1,0.0,0.0,3.0,1009.2,998.2,89.0,45.0,42.0,23380.0,0.55,0.59,1.46,2.9,3.25,3.32,3.32,224.0,225.0,226.0,226.0,5.5,28.6,27.8,27.0,64.0,8.9,9.4,3600.0,25.9,5100.0,1135.0,region 8,Thunderstorm no hail,48
region 1_2025-11-21_14,2025-11-21 14:00:00,26.1,77.0,21.7,28.7,0.2,0.0,0.2,0.0,0.0,3.0,1009.6,967.1,100.0,60.0,90.0,11820.0,0.34,0.35,0.78,4.07,5.55,5.73,5.78,242.0,244.0,245.0,247.0,8.5,24.2,23.6,22.8,100.0,5.15,9.0,3600.0,22.9,5070.0,510.0,region 1,Thunderstorm no hail,65
region 2_2025-11-21_14,2025-11-21 14:00:00,29.2,73.0,23.9,33.9,0.4,0.0,0.4,0.0,0.0,80.0,1008.8,1002.6,96.0,74.0,68.0,7820.0,0.41,0.5,1.09,4.14,5.95,6.17,6.36,250.0,250.0,250.0,251.0,10.8,26.9,26.2,25.3,55.0,4.05,8.85,3600.0,25.3,5120.0,1040.0,region 2,Rain shower slight,63
region 3_2025-11-21_14,2025-11-21 14:00:00,29.4,,24.3,33.4,1.0,0.0,1.0,0.0,0.0,95.0,1008.5,996.1,100.0,59.0,66.0,4680.0,0.38,0.39,1.07,4.47,6.08,6.26,6.36,243.0,245.0,245.0,246.0,8.9,27.7,26.9,26.1,100.0,4.95,,3600.0,25.7,5090.0,835.0,region 3,Thunderstorm no hail,68
region 4_2025-11-21_14,2025-11-21 14:00:00,27.6,77.0,23.2,30.9,0.3,0.0,0.3,0.0,0.0,80.0,1008.6,990.5,100.0,90.0,84.0,7400.0,0.44,0.38,0.85,4.39,5.81,5.87,5.94,221.0,222.0,223.0,224.0,7.7,26.2,25.5,24.7,100.0,7.6,8.9,3600.0,24.4,5110.0,990.0,region 4,Thunderstorm no hail,60
region 5_2025-11-21_14,2025-11-21 14:00:00,29.1,75.0,24.2,33.1,0.4,0.0,0.4,0.0,0.0,80.0,1008.2,1002.9,100.0,66.0,62.0,10620.0,0.44,0.43,1.01,4.65,6.26,6.36,6.5,245.0,245.0,246.0,247.0,9.1,27.2,26.5,25.6,100.0,8.55,8.85,3600.0,25.5,5090.0,1075.0,region 5,Thunderstorm no hail,68
region 6_2025-11-21_14,2025-11-21 14:00:00,27.4,83.0,24.3,31.6,0.1,0.0,0.1,0.0,0.0,3.0,1008.3,1005.9,97.0,62.0,57.0,4680.0,0.23,0.45,0.62,5.47,6.38,6.48,6.48,261.0,261.0,261.0,261.0,7.7,26.0,25.3,24.4,83.0,8.8,8.85,3600.0,25.1,5070.0,955.0,region 6,Thunderstorm no hail,68
region 7_2025-11-21_14,2025-11-21 14:00:00,30.5,74.0,25.3,35.7,0.5,0.0,0.5,0.0,0.0,80.0,1008.2,1000.6,100.0,61.0,53.0,5380.0,0.48,0.5,1.13,4.46,6.18,6.36,6.45,254.0,256.0,257.0,257.0,8.6,28.6,27.9,27.0,100.0,4.45,,,26.6,5080.0,655.0,region 7,Rain shower slight,43
region 8_2025-11-21_14,2025-11-21 14:00:00,29.4,74.0,24.3,34.6,0.0,0.0,0.0,0.0,0.0,3.0,1008.1,997.0,100.0,62.0,74.0,18100.0,0.58,0.54,1.06,4.26,5.19,5.33,5.4,231.0,230.0,230.0,231.0,6.5,27.8,27.0,26.2,100.0,8.75,,3600.0,25.6,5140.0,1180.0,region 8,Thunderstorm no hail,68
region 1_2025-11-21_15,2025-11-21 15:00:00,25.0,84.0,22.1,27.8,2.7,0.0,2.7,0.0,0.0,95.0,1009.2,966.6,100.0,71.0,88.0,5200.0,0.31,0.24,0.51,4.16,6.08,6.36,6.45,243.0,245.0,246.0,246.0,9.4,23.7,23.0,22.3,100.0,5.85,7.65,2635.7,22.8,5120.0,685.0,region 1,Thunderstorm no hail,60
region 2_2025-11-21_15,2025-11-21 15:00:00,28.7,74.0,23.6,32.5,0.3,0.0,0.3,0.0,0.0,80.0,1008.3,1002.0,100.0,78.0,69.0,12300.0,0.34,0.39,1.02,4.03,5.82,6.02,6.02,256.0,254.0,255.0,255.0,11.3,26.7,26.0,25.2,100.0,3.2,7.5,3600.0,25.0,5110.0,850.0,region 2,Rain shower slight,58
region 3_2025-11-21_15,2025-11-21 15:00:00,28.6,78.0,24.4,32.7,1.0,0.0,1.0,0.0,0.0,95.0,1008.0,995.5,,54.0,58.0,4360.0,0.38,0.32,0.86,4.29,6.08,6.26,6.45,242.0,245.0,245.0,246.0,9.3,27.1,26.4,25.5,100.0,3.45,7.5,2278.17,25.5,5090.0,705.0,region 3,Thunderstorm no hail,70
region 4_2025-11-21_15,2025-11-21 15:00:00,26.5,83.0,23.3,29.4,4.8,0.0,4.8,0.0,0.0,95.0,1008.3,990.1,100.0,69.0,87.0,6800.0,0.31,0.19,0.59,5.24,7.5,7.78,7.92,222.0,224.0,224.0,225.0,9.9,25.4,24.7,23.9,100.0,6.3,,0.0,24.2,5140.0,850.0,region 4,Thunderstorm no hail,55
region 5_2025-11-21_15,2025-11-21 15:00:00,28.3,79.0,24.3,32.2,1.0,0.0,1.0,0.0,0.0,95.0,1007.8,1002.4,100.0,59.0,60.0,20460.0,0.43,0.34,0.81,,6.09,6.28,6.37,245.0,247.0,248.0,248.0,9.1,26.7,26.0,25.1,100.0,5.1,7.5,3600.0,25.3,5070.0,715.0,region 5,Thunderstorm no hail,70
region 6_2025-11-21_15,2025-11-21 15:00:00,27.4,84.0,24.5,30.9,0.5,0.0,0.5,0.0,0.0,80.0,1007.9,1005.5,100.0,56.0,59.0,4360.0,0.22,0.32,0.58,,6.41,6.51,6.61,266.0,266.0,266.0,267.0,8.1,26.0,25.3,24.4,100.0,5.6,7.45,3600.0,25.2,5080.0,705.0,region 6,Thunderstorm no hail,70
region 7_2025-11-21_15,2025-11-21 15:00:00,30.2,,25.1,34.6,0.4,0.0,0.4,0.0,0.0,80.0,1007.8,1000.2,100.0,60.0,49.0,5800.0,0.37,0.34,1.12,4.47,6.28,6.48,6.66,260.0,261.0,261.0,262.0,8.5,28.5,27.8,26.9,100.0,4.5,7.5,1051.17,26.4,5120.0,625.0,region 7,Rain shower slight,53
region 8_2025-11-21_15,2025-11-21 15:00:00,28.1,79.0,24.1,31.5,2.9,0.0,2.9,0.0,0.0,95.0,1007.8,996.7,100.0,63.0,67.0,6060.0,0.4,0.26,0.8,5.19,7.11,7.31,7.39,230.0,231.0,230.0,230.0,9.3,26.9,26.2,25.3,100.0,6.45,7.45,1755.06,25.2,5120.0,1000.0,region 8,Thunderstorm no hail,73
region 1_2025-11-21_16,2025-11-21 16:00:00,24.2,,21.7,27.0,2.1,0.0,2.1,0.0,0.0,80.0,1008.9,966.2,100.0,69.0,65.0,5080.0,0.17,0.13,0.42,3.73,5.73,6.12,6.31,262.0,264.0,265.0,266.0,9.0,23.1,22.5,21.7,100.0,3.45,5.55,0.0,22.3,5040.0,415.0,region 1,Thunderstorm no hail,65
region 2_2025-11-21_16,2025-11-21 16:00:00,27.7,,23.1,31.5,0.3,0.0,0.3,0.0,0.0,80.0,1007.9,1001.6,100.0,81.0,68.0,5480.0,0.21,0.22,0.89,3.51,5.44,5.76,5.89,250.0,250.0,250.0,249.0,11.4,26.3,25.5,24.7,100.0,4.45,5.55,834.6,24.4,5110.0,915.0,region 2,Rain shower slight,63
region 3_2025-11-21_16,2025-11-21 16:00:00,27.8,79.0,23.9,32.1,1.1,0.0,1.1,0.0,0.0,80.0,1007.7,995.2,100.0,62.0,52.0,5100.0,0.25,0.21,0.79,3.44,4.88,5.26,5.5,244.0,247.0,249.0,251.0,8.5,26.6,25.9,25.1,100.0,1.15,5.45,0.0,24.9,5070.0,345.0,region 3,Thunderstorm no hail,63
region 4_2025-11-21_16,2025-11-21 16:00:00,26.0,,23.4,29.0,3.6,0.0,3.6,0.0,0.0,95.0,1007.9,989.7,100.0,67.0,69.0,5940.0,0.24,0.18,0.47,5.2,7.5,7.74,7.91,232.0,233.0,234.0,235.0,10.4,24.7,24.1,23.3,100.0,4.3,5.5,0.0,24.1,5100.0,645.0,region 4,Thunderstorm no hail,55
region 5_2025-11-21_16,2025-11-21 16:00:00,27.5,81.0,24.0,31.5,1.0,0.0,1.0,0.0,0.0,95.0,1007.5,1002.1,100.0,62.0,62.0,18360.0,0.29,0.23,0.7,3.99,5.63,5.82,6.01,248.0,250.0,251.0,252.0,8.5,26.2,25.5,24.7,100.0,5.2,5.5,470.9,24.9,5040.0,750.0,region 5,Thunderstorm no hail,63
region 6_2025-11-21_16,2025-11-21 16:00:00,27.2,86.0,24.6,30.8,0.9,0.0,0.9,0.0,0.0,95.0,1007.5,1005.1,,53.0,65.0,5100.0,0.19,0.24,0.5,5.51,6.31,6.41,6.41,273.0,273.0,273.0,273.0,8.0,25.9,25.2,24.3,100.0,5.15,5.5,2592.07,25.3,5110.0,830.0,region 6,Thunderstorm no hail,63
region 7_2025-11-21_16,2025-11-21 16:00:00,29.5,76.0,24.8,33.9,0.3,0.0,0.3,0.0,0.0,80.0,1007.4,999.8,100.0,64.0,63.0,6400.0,0.3,0.27,0.99,4.21,6.01,6.21,6.3,266.0,266.0,267.0,268.0,8.8,28.1,27.4,26.5,100.0,1.2,5.45,1630.85,26.1,5090.0,385.0,region 7,Rain shower slight,60
region 8_2025-11-21_16,2025-11-21 16:00:00,27.4,82.0,24.1,30.6,1.8,0.0,1.8,0.0,0.0,95.0,1007.4,996.3,100.0,56.0,56.0,5640.0,0.29,0.22,0.66,5.52,7.74,8.04,8.18,235.0,234.0,235.0,235.0,10.1,26.2,25.5,24.7,100.0,4.8,5.45,399.45,24.9,5100.0,885.0,region 8,Thunderstorm no hail,75
region 1_2025-11-21_17,2025-11-21 17:00:00,23.9,84.0,21.0,26.5,0.3,0.0,0.3,0.0,0.0,80.0,1009.6,966.8,100.0,69.0,44.0,5680.0,0.13,0.11,0.47,,5.45,5.85,5.97,275.0,277.0,278.0,279.0,8.0,23.0,22.4,21.6,100.0,1.6,3.25,0.0,21.8,5140.0,280.0,region 1,Thunderstorm no hail,60
region 2_2025-11-21_17,2025-11-21 17:00:00,26.9,80.0,23.2,31.1,0.1,0.0,0.1,0.0,0.0,3.0,1008.6,1002.3,100.0,82.0,71.0,6080.0,0.12,0.13,0.71,,4.29,4.61,4.83,243.0,242.0,243.0,243.0,10.5,25.7,25.0,24.1,100.0,1.8,3.3,0.0,24.2,5200.0,745.0,region 2,Rain shower slight,70
region 3_2025-11-21_17,2025-11-21 17:00:00,27.6,80.0,23.9,32.1,0.3,0.0,0.3,0.0,0.0,80.0,1008.4,995.9,100.0,60.0,55.0,5340.0,0.19,0.16,0.74,3.01,4.33,4.68,4.95,249.0,251.0,254.0,256.0,6.7,26.5,25.8,25.0,100.0,0.35,3.2,0.0,24.9,5060.0,245.0,region 3,Thunderstorm no hail,70
region 4_2025-11-21_17,2025-11-21 17:00:00,25.4,87.0,23.1,28.5,1.8,0.0,1.8,0.0,0.0,95.0,1008.6,990.3,100.0,60.0,65.0,4980.0,0.16,0.1,0.42,4.69,7.17,7.61,7.83,236.0,240.0,242.0,243.0,10.0,24.5,23.9,23.1,100.0,2.7,3.2,0.0,23.7,5070.0,540.0,region 4,Thunderstorm no hail,50
region 5_2025-11-21_17,2025-11-21 17:00:00,27.2,83.0,24.0,31.4,0.7,0.0,0.7,0.0,0.0,80.0,1008.2,1002.8,100.0,59.0,64.0,6960.0,0.2,0.16,0.61,3.61,5.35,5.54,5.7,251.0,253.0,253.0,255.0,7.8,26.1,25.4,24.5,100.0,1.25,3.25,0.0,24.8,5060.0,385.0,region 5,Thunderstorm no hail,70
region 6_2025-11-21_17,2025-11-21 17:00:00,27.0,86.0,24.4,30.6,2.1,0.0,2.1,0.0,0.0,95.0,1008.2,1005.8,100.0,57.0,77.0,5340.0,0.17,0.12,0.5,5.22,6.12,6.22,6.42,275.0,275.0,275.0,274.0,8.0,25.8,25.1,24.3,100.0,2.45,3.25,0.0,25.1,5080.0,640.0,region 6,Thunderstorm no hail,70
region 7_2025-11-21_17,2025-11-21 17:00:00,28.7,,24.9,33.4,0.4,0.0,0.4,0.0,0.0,80.0,1008.2,1000.6,,69.0,76.0,6440.0,0.16,0.13,0.78,3.71,5.51,5.81,6.01,265.0,266.0,266.0,267.0,8.6,27.6,26.9,26.0,100.0,0.55,3.2,0.0,25.8,5060.0,300.0,region 7,Rain shower slight,58
region 8_2025-11-21_17,2025-11-21 17:00:00,26.8,84.0,23.9,30.1,1.2,0.0,1.2,0.0,0.0,80.0,1008.1,996.9,100.0,49.0,62.0,17080.0,0.2,0.14,0.56,5.24,7.6,8.05,8.22,235.0,237.0,238.0,238.0,9.8,25.9,25.2,24.3,100.0,2.75,3.2,0.0,24.7,5090.0,655.0,region 8,Thunderstorm no hail,73
